url,domain,path,language,is_mobile,label,note
https://www.mobile.example-bank-1.training.local/ar/services/investments,example-bank-1.training.local,/services/investments,ar,True,benign,synthetic_training_data
https://example-bank-1.training.local/payments/mobile-recharge,example-bank-1.training.local,/payments/mobile-recharge,ar,False,benign,synthetic_training_data
https://example-bank-1.training.local/payments/government,example-bank-1.training.local,/payments/government,en,False,benign,synthetic_training_data
https://www.example-bank-1.training.local/ar/support/contact,example-bank-1.training.local,/support/contact,ar,False,benign,synthetic_training_data
https://www.example-bank-1.training.local/payments/government,example-bank-1.training.local,/payments/government,en,False,benign,synthetic_training_data
https://www.mobile.example-bank-1.training.local/en/services/loans,example-bank-1.training.local,/services/loans,en,True,benign,synthetic_training_data
https://mobile.example-bank-1.training.local/settings/notifications,example-bank-1.training.local,/settings/notifications,en,True,benign,synthetic_training_data
https://www.example-bank-1.training.local/en/account/overview,example-bank-1.training.local,/account/overview,en,False,benign,synthetic_training_data
https://mobile.example-bank-1.training.local/ar/account/history,example-bank-1.training.local,/account/history,ar,True,benign,synthetic_training_data
https://mobile.example-bank-1.training.local/ar/settings/security,example-bank-1.training.local,/settings/security,ar,True,benign,synthetic_training_data
https://www.m.test-financial-corp.research.edu/ar/signin,test-financial-corp.research.edu,/signin,ar,True,benign,synthetic_training_data
https://www.m.test-financial-corp.research.edu/ar/payments/bills,test-financial-corp.research.edu,/payments/bills,ar,True,benign,synthetic_training_data
https://mobile.test-financial-corp.research.edu/en/corporate/signin,test-financial-corp.research.edu,/corporate/signin,en,True,benign,synthetic_training_data
https://www.mobile.test-financial-corp.research.edu/en/account/history,test-financial-corp.research.edu,/account/history,en,True,benign,synthetic_training_data
https://mobile.test-financial-corp.research.edu/payments/mobile-recharge,test-financial-corp.research.edu,/payments/mobile-recharge,en,True,benign,synthetic_training_data
https://www.m.test-financial-corp.research.edu/settings/profile,test-financial-corp.research.edu,/settings/profile,ar,True,benign,synthetic_training_data
https://www.test-financial-corp.research.edu/ar/support/faq,test-financial-corp.research.edu,/support/faq,ar,False,benign,synthetic_training_data
https://www.test-financial-corp.research.edu/ar/transfer/international,test-financial-corp.research.edu,/transfer/international,ar,False,benign,synthetic_training_data
https://test-financial-corp.research.edu/account/summary,test-financial-corp.research.edu,/account/summary,en,False,benign,synthetic_training_data
https://www.m.test-financial-corp.research.edu/signin,test-financial-corp.research.edu,/signin,ar,True,benign,synthetic_training_data
https://mobile.mock-banking-system.cybersec.test/account/history,mock-banking-system.cybersec.test,/account/history,ar,True,benign,synthetic_training_data
https://www.mobile.mock-banking-system.cybersec.test/services/loans,mock-banking-system.cybersec.test,/services/loans,en,True,benign,synthetic_training_data
https://mobile.mock-banking-system.cybersec.test/business/login,mock-banking-system.cybersec.test,/business/login,ar,True,benign,synthetic_training_data
https://www.mock-banking-system.cybersec.test/en/corporate/signin,mock-banking-system.cybersec.test,/corporate/signin,en,False,benign,synthetic_training_data
https://www.m.mock-banking-system.cybersec.test/ar/services/loans,mock-banking-system.cybersec.test,/services/loans,ar,True,benign,synthetic_training_data
